sample_name	>6921221>6921222>6921224	>6921221>6921223>6921224
SRR018517	0
SRR018521	0
SRR018574	0
SRR018580	0
SRR018582	0
SRR018593	0
SRR018601	0
SRR060098	0
SRR060821	0
SRR834504	0
SRR834505	0
SRR834506	0
SRR834507	0
SRR834509	0
SRR834510	1
SRR834511	1
SRR834513	1
SRR834514	1
SRR834515	1
SRR834516	0.5
SRR834518	1
SRR834519	1
SRR834520	1
SRR834521	1
SRR834522	1
SRR834537	1
SRR834539	1
SRR834541	1
SRR834543	1
SRR834544	1
SRR834545	1
SRR834546	1
SRR834552	1
SRR834553	1
SRR834554	1
SRR835023	1
SRR835024	1
SRR835025	1
SRR835026	1
SRR835027	1
SRR835028	1
SRR835029	1
SRR835030	1
SRR835031	1
SRR835032	1
SRR835033	1
SRR835034	1
SRR835035	1
SRR835036	1
SRR835037	1
SRR835038	1
SRR835039	1
SRR835040	1
SRR835042	1
SRR835043	1
SRR835044	1
SRR835045	1
SRR835046	1
SRR835047	1
SRR835048	1
SRR835049	1
SRR835050	1
SRR835051	1
SRR835052	1
SRR835053	1
SRR835055	1
SRR835057	1
SRR835058	1
SRR835059	1
SRR835060	1
SRR835061	1
SRR835062	0.5
SRR835063	1
SRR835064	1
SRR835065	1
SRR835066	1
SRR835067	1
SRR835068	1
SRR835069	1
SRR835070	0.5
SRR835071	1
SRR835072	1
SRR835073	1
SRR835074	1
SRR835075	1
SRR835076	1
SRR835077	1
SRR835078	1
SRR835080	1
SRR835081	1
SRR835082	1
SRR835083	1
SRR835084	1
SRR835085	1
SRR835086	1
SRR835087	1
SRR835088	1
SRR835089	1
SRR835090	1
SRR835091	1
SRR835092	1
SRR835093	1
SRR835094	1
SRR835095	1
SRR835096	1
SRR835098	1
SRR835099	1
SRR835100	1
SRR835101	1
SRR835103	1
SRR835326	1
SRR835331	1
SRR835333	1
SRR835338	1
SRR933569	1
SRR933570	1
SRR933571	1
SRR933572	1
SRR933573	1
SRR933575	1
SRR933577	1
SRR933578	1
SRR933579	1
SRR933580	1
SRR933581	1
SRR933582	1
SRR933583	1
SRR933585	1
SRR933586	1
SRR933587	1
SRR933588	1
SRR933589	1
SRR933591	1
SRR933592	1
SRR933593	1
SRR933594	1
SRR933595	1
SRR933596	1
SRR933597	1
SRR933598	1
SRR933599	1
SRR933600	1
SRR933601	1
